word,category
dinosaur,animals
mammal,animals
jellyfish,animals
chimpanzee,animals
antelope,animals
salamander,animals
elk,animals
panda,animals
rabbit,animals
anteater,animals
mule,animals
domestic,animals
platypus,animals
caterpillar,animals
dingo,animals
moth,animals
beetle,animals
spider,animals
camel,animals
dog,animals
