word
alligator
badger
beast
beaver
beetle
bison
boar
buffalo
bull
butterfly
camel
cattle
cheetah
chickens
chihuahua
cobra
cougar
coyote
crab
cricket
crocodile
deer
dinosaur
dolphin
donkey
dragon
elephant
flea
foxes
frog
giraffe
goat
goldfish
gorilla
hamster
hare
hedgehog
hens
insect
jaguar
jellyfish
kangaroo
leopard
lice
lion
lizard
mammal
mammoth
mice
mole
monkey
moose
mosquito
moth
mouse
mule
octopus
otter
oyster
panda
panther
paws
pony
puma
rabbit
raccoon
reindeer
reptile
rhino
salmon
scorpion
seal
seaweed
serpent
shark
sheep
shrimp
slug
snail
snake
spider
sponge
squid
squirrel
stag
tiger
toad
tortoise
turtle
wasp
whale
wolf
worm
