word,category
copper,colour
banana,fruit_vegetable
agapanthus,flower
brown,colour
durian,fruit_vegetable
geranium,flower
gold,colour
avocado,fruit_vegetable
marigold,flower
burgundy,colour
date,fruit_vegetable
dahlia,flower
indigo,colour
sprouts,fruit_vegetable
sunflower,flower
aqua,colour
potato,fruit_vegetable
iris,flower
green,colour
cabbage,fruit_vegetable
