"word"
"chimpanzee"
"chicken"
"crocodile"
"horse"
"hamster"
"pig"
"orangutan"
"goat"
"lion"
"bear"
"panda"
"snake"
"hippopotamus"
"wolf"
"turtle"
"cheetah"
"zebra"
"cow"
"spider"
"giraffe"
